-----------------------------------------------------------
run_test.sh started on  Sat May 3 22:07:39 CEST 2025
-----------------------------------------------------------
| Methd | Problem    | n.vars     | time        | n.it       | fopt             | gnorm            | nfunc      | ngrad      |
| Hager | ARGLINA    | 1000       | 0.011119    | 1          | 1.0000000e+02    | 3.2951419e-13    | 0          | 2          |
| Hager | ARGLINB    | 1000       | 78.597132   | 3013       | 2.7462517e+02    | 2.6705127e-02    | 22104      | 25346      |
| Hager | ARGLINC    | 1000       | 0.875363    | 25         | 2.7612517e+02    | 3.4048224e-03    | 267        | 266        |
| Hager | ARGTRIGLS  | 1000       | 25.073245   | 2458       | 1.4069503e-14    | 9.8792179e-07    | 4917       | 2459       |
| Hager | BDEXP      | 5000       | 0.023534    | 11         | 1.9886086e-04    | 5.3549465e-07    | 11         | 10         |
| Hager | BOX        | 10000      | 0.021062    | 8          | -1.8645379e+03   | 4.4871147e-09    | 25         | 18         |
| Hager | BOXPOWER   | 10000      | 0.016625    | 23         | 1.0446753e-10    | 9.7543373e-09    | 64         | 41         |
| Hager | BROWNAL    | 1000       | 0.063485    | 5          | 2.2889837e-12    | 9.6149188e-08    | 18         | 13         |
| Hager | BROYDN3DLS | 5000       | 0.012087    | 32         | 8.6129287e-14    | 8.6705409e-07    | 65         | 33         |
| Hager | BROYDNBDLS | 5000       | 0.023316    | 34         | 8.8450790e-14    | 3.1155129e-07    | 73         | 39         |
| Hager | CHEBYQAD   | 1000       | 770.124148  | 5002       | 7.9455639e-03    | inf              | 10015      | 5007       |
| Hager | CHNRSNBM   | 1000       | 0.454398    | 2966       | 5.8567003e-16    | 6.7407224e-08    | 6180       | 3049       |
| Hager | CLPLATEA   | 5041       | 0.292242    | 21         | -1.2592095e-02   | 5.4340395e-07    | 36         | 21         |
| Hager | CURLY30    | 10000      | 85.339337   | 5000       | -1.0031629e+06   | 1.7701832e-04    | 8750       | 6281       |
| Hager | CVXBQP1    | 10000      | 0.003580    | 21         | 2.2502250e+06    | 2.7755576e-17    | 0          | 19         |
| Hager | CYCLIC3LS  | 100002     | 14.429717   | 815        | 4.1070266e-08    | 6.8036061e-07    | 1845       | 1195       |
| Hager | CYCLOOCFLS | 29996      | 5.885678    | 746        | 1.1433151e-10    | 9.6049194e-07    | 1636       | 777        |
| Hager | CYCLOOCTLS | 30000      | 5.747111    | 551        | 5.4792877e-11    | 8.7770968e-07    | 1257       | 585        |
| Hager | DEGDIAG    | 100001     | 0.013625    | 3          | 1.6666583e+04    | 0.0000000e+00    | 0          | 1          |
| Hager | DEGTRID    | 100001     | 0.422185    | 7          | -9.9999500e+04   | 2.9228898e-14    | 0          | 7          |
| Hager | ARWHEAD    | 5000       | 0.005479    | 7          | 0.0000000e+00    | 9.9095255e-07    | 15         | 8          |
| Hager | BDQRTIC    | 5000       | 0.101231    | 35         | 2.0006257e+04    | 1.2645079e-11    | 85         | 54         |
| Hager | BROYDN7D   | 5000       | 1.150705    | 688        | 1.8454109e+03    | 2.0799706e-07    | 1819       | 748        |
| Hager | BRYBND     | 5000       | 0.023324    | 34         | 8.8450790e-14    | 3.1155129e-07    | 73         | 39         |
| Hager | CHAINWOO   | 4000       | 0.341781    | 105        | 4.5727672e+00    | 5.1568068e-07    | 216        | 118        |
| Hager | CLPLATEB   | 5041       | 0.038444    | 5          | -5.0947870e-03   | 1.0506012e-07    | 6          | 5          |
| Hager | CLPLATEC   | 5041       | 5.092059    | 157        | -5.0189875e-03   | 9.5090015e-07    | 181        | 278        |
| Hager | COSINE     | 10000      | 0.026477    | 11         | -9.9990000e+03   | 1.6167427e-07    | 37         | 31         |
| Hager | CRAGGLVY   | 5000       | 0.115055    | 24         | 1.6882153e+03    | 4.1051238e-09    | 52         | 38         |
| Hager | CURLY10    | 10000      | 4.988832    | 5000       | -1.0031628e+06   | 1.9461592e-02    | 10009      | 5010       |
| Hager | CURLY20    | 10000      | 15.275767   | 5000       | -1.0031628e+06   | 2.0094919e-02    | 10016      | 5017       |
| Hager | DEGTRID2   | 100001     | 0.014623    | 3          | -9.9999500e+04   | 0.0000000e+00    | 0          | 1          |
| Hager | DIAGPQB    | 1000       | 0.029156    | 6          | -8.2196728e+02   | 6.3009390e-13    | 0          | 7          |
| Hager | DIAGPQE    | 1000       | 0.028677    | 5          | -3.7427354e+00   | 4.8119808e-10    | 0          | 5          |
| Hager | DIAGPQT    | 1000       | 0.027775    | 5          | -5.0204401e+02   | 8.6585334e-07    | 0          | 5          |
| Hager | DIXMAANA1  | 3000       | 0.003501    | 7          | 1.0000000e+00    | 4.8318206e-12    | 15         | 8          |
| Hager | DIXMAANB   | 3000       | 0.003644    | 6          | 1.0000000e+00    | 8.9774747e-08    | 13         | 7          |
| Hager | DIXMAANC   | 3000       | 0.002972    | 6          | 1.0000000e+00    | 7.0332716e-07    | 13         | 7          |
| Hager | DIXMAAND   | 3000       | 0.003444    | 7          | 1.0000000e+00    | 7.3560463e-07    | 15         | 8          |
| Hager | DIXMAANE1  | 3000       | 0.033047    | 23         | 1.0000000e+00    | 1.5038177e-11    | 41         | 30         |
| Hager | DIXMAANF   | 3000       | 0.062902    | 28         | 1.0000000e+00    | 8.4096329e-09    | 54         | 29         |
| Hager | DIXMAANG   | 3000       | 0.062083    | 28         | 1.0000000e+00    | 2.8793362e-10    | 54         | 29         |
| Hager | DIXMAANH   | 3000       | 0.063940    | 23         | 1.0000000e+00    | 3.7062809e-07    | 44         | 24         |
| Hager | DIXMAANI1  | 3000       | 0.062973    | 17         | 1.0000000e+00    | 1.4112891e-16    | 34         | 18         |
| Hager | DIXMAANJ   | 3000       | 0.083207    | 27         | 1.0000000e+00    | 8.0114389e-07    | 50         | 28         |
| Hager | DIXMAANK   | 3000       | 0.108698    | 43         | 1.0000000e+00    | 6.2012221e-07    | 83         | 44         |
| Hager | DIXMAANL   | 3000       | 0.089415    | 43         | 1.0000000e+00    | 3.3480285e-07    | 83         | 44         |
| Hager | DIXMAANM1  | 3000       | 0.066265    | 17         | 1.0000000e+00    | 9.8417835e-17    | 34         | 18         |
| Hager | DIXMAANN   | 3000       | 0.111413    | 40         | 1.0000000e+00    | 3.8206549e-07    | 75         | 41         |
| Hager | DIXMAANO   | 3000       | 0.093281    | 35         | 1.0000000e+00    | 3.9864017e-07    | 66         | 39         |
| Hager | DIXMAANP   | 3000       | 0.095873    | 31         | 1.0000000e+00    | 2.5575648e-07    | 56         | 32         |
| Hager | DIXON3DQ   | 10000      | 0.046110    | 3          | 4.3971493e-12    | 6.9317794e-08    | 0          | 5          |
| Hager | DQDRTIC    | 5000       | 0.044512    | 4          | -4.9737992e-13   | 1.0047110e-09    | 0          | 7          |
| Hager | DQRTIC     | 5000       | 0.007284    | 21         | 7.3281603e-08    | 4.9243335e-07    | 51         | 30         |
| Hager | EDENSCH    | 2000       | 0.009454    | 28         | 1.2003285e+04    | 9.5279061e-07    | 56         | 40         |
| Hager | EIGENALS   | 2550       | 15.698242   | 5000       | 5.6642712e-04    | 1.4609204e-02    | 10006      | 5007       |
| Hager | EIGENBLS   | 2550       | 15.358841   | 5000       | 1.5174904e-04    | 4.4765448e-04    | 10001      | 5001       |
