-----------------------------------------------------------
run_test.sh started on  Sun May 4 12:07:27 CEST 2025
-----------------------------------------------------------
| Methd | Problem    | n.vars     | time        | n.it       | fopt             | gnorm            | nfunc      | ngrad      |
| Hager (no hess) | ARGLINA    | 1000       | 0.006260    | 1          | 1.0000000e+02    | 3.2951419e-13    | 0          | 2          |
| Hager (no hess) | ARGLINB    | 1000       | 76.430231   | 3013       | 2.7462517e+02    | 2.6705127e-02    | 22104      | 25346      |
| Hager (no hess) | ARGLINC    | 1000       | 0.831980    | 25         | 2.7612517e+02    | 3.4048224e-03    | 267        | 266        |
| Hager (no hess) | ARGTRIGLS  | 1000       | 24.377206   | 2458       | 1.4069503e-14    | 9.8792179e-07    | 4917       | 2459       |
| Hager (no hess) | BDEXP      | 5000       | 0.006197    | 6          | 2.8593467e-05    | 4.7256007e-07    | 9          | 5          |
| Hager (no hess) | BOX        | 10000      | 0.019231    | 8          | -1.8645379e+03   | 4.4871147e-09    | 25         | 18         |
| Hager (no hess) | BOXPOWER   | 10000      | 0.014418    | 23         | 1.0446753e-10    | 9.7543373e-09    | 64         | 41         |
| Hager (no hess) | BROWNAL    | 1000       | 0.060160    | 5          | 2.2889837e-12    | 9.6149188e-08    | 18         | 13         |
| Hager (no hess) | BROYDN3DLS | 5000       | 0.012308    | 32         | 8.6129287e-14    | 8.6705409e-07    | 65         | 33         |
| Hager (no hess) | BROYDNBDLS | 5000       | 0.023316    | 34         | 8.8450790e-14    | 3.1155129e-07    | 73         | 39         |
| Hager (no hess) | CHEBYQAD   | 1000       | 754.631847  | 5002       | 7.9455639e-03    | inf              | 10015      | 5007       |
| Hager (no hess) | CHNRSNBM   | 1000       | 0.279803    | 4614       | 6.5927040e-13    | 8.5759040e-07    | 9229       | 4617       |
| Hager (no hess) | CLPLATEA   | 5041       | 0.476703    | 957        | -1.2592095e-02   | 9.5147932e-07    | 1914       | 957        |
| Hager (no hess) | CURLY30    | 10000      | 6.184329    | 5000       | -1.0031622e+06   | 9.6165875e-02    | 10010      | 5011       |
| Hager (no hess) | CVXBQP1    | 10000      | 0.003327    | 21         | 2.2502250e+06    | 2.7755576e-17    | 0          | 19         |
| Hager (no hess) | CYCLIC3LS  | 100002     | 23.873562   | 2663       | 5.5645591e-01    | 9.8457346e-07    | 5469       | 2806       |
| Hager (no hess) | CYCLOOCFLS | 29996      | 11.437489   | 5000       | 2.0483132e+03    | 3.6900984e+00    | 10178      | 5178       |
| Hager (no hess) | CYCLOOCTLS | 30000      | 11.462283   | 5000       | 1.9178126e+03    | inf              | 10161      | 5161       |
| Hager (no hess) | DEGDIAG    | 100001     | 0.013310    | 3          | 1.6666583e+04    | 0.0000000e+00    | 0          | 1          |
| Hager (no hess) | DEGTRID    | 100001     | 0.466761    | 197        | -9.9999500e+04   | 9.9069334e-07    | 0          | 196        |
| Hager (no hess) | ARWHEAD    | 5000       | 0.008246    | 7          | 0.0000000e+00    | 9.9095255e-07    | 15         | 8          |
| Hager (no hess) | BDQRTIC    | 5000       | 0.101783    | 141        | 2.0006257e+04    | 8.1692461e-07    | 291        | 279        |
| Hager (no hess) | BROYDN7D   | 5000       | 1.087162    | 1411       | 1.9969158e+03    | 9.9729023e-07    | 2816       | 1431       |
| Hager (no hess) | BRYBND     | 5000       | 0.023558    | 34         | 8.8450790e-14    | 3.1155129e-07    | 73         | 39         |
| Hager (no hess) | CHAINWOO   | 4000       | 0.102545    | 243        | 4.5727672e+00    | 9.6041290e-07    | 466        | 295        |
| Hager (no hess) | CLPLATEB   | 5041       | 0.190669    | 352        | -5.0947852e-03   | 8.9546662e-07    | 704        | 352        |
| Hager (no hess) | CLPLATEC   | 5041       | 3.510635    | 5000       | -4.9955414e-03   | inf              | 5006       | 9994       |
| Hager (no hess) | COSINE     | 10000      | 0.025932    | 11         | -9.9990000e+03   | 1.6167427e-07    | 37         | 31         |
| Hager (no hess) | CRAGGLVY   | 5000       | 0.083046    | 107        | 1.6882153e+03    | 9.3267311e-07    | 203        | 146        |
| Hager (no hess) | CURLY10    | 10000      | 2.888763    | 5000       | -1.0031627e+06   | 3.6485783e-02    | 10009      | 5010       |
| Hager (no hess) | CURLY20    | 10000      | 4.435897    | 5000       | -1.0031624e+06   | 8.2679548e-02    | 10010      | 5011       |
| Hager (no hess) | DEGTRID2   | 100001     | 0.015689    | 3          | -9.9999500e+04   | 0.0000000e+00    | 0          | 1          |
| Hager (no hess) | DIAGPQB    | 1000       | 0.020567    | 1506       | -8.2196728e+02   | 5.6500401e-07    | 0          | 1505       |
| Hager (no hess) | DIAGPQE    | 1000       | 0.004737    | 158        | -3.7427354e+00   | 8.9790180e-07    | 0          | 157        |
| Hager (no hess) | DIAGPQT    | 1000       | 0.004930    | 154        | -5.0204401e+02   | 9.8630074e-07    | 0          | 153        |
| Hager (no hess) | DIXMAANA1  | 3000       | 0.003039    | 7          | 1.0000000e+00    | 4.8318206e-12    | 15         | 8          |
| Hager (no hess) | DIXMAANB   | 3000       | 0.003337    | 6          | 1.0000000e+00    | 8.9774747e-08    | 13         | 7          |
| Hager (no hess) | DIXMAANC   | 3000       | 0.003727    | 6          | 1.0000000e+00    | 7.0332716e-07    | 13         | 7          |
| Hager (no hess) | DIXMAAND   | 3000       | 0.003704    | 7          | 1.0000000e+00    | 7.3560463e-07    | 15         | 8          |
| Hager (no hess) | DIXMAANE1  | 3000       | 0.045291    | 222        | 1.0000000e+00    | 9.8403702e-07    | 239        | 429        |
| Hager (no hess) | DIXMAANF   | 3000       | 0.029522    | 161        | 1.0000000e+00    | 8.8563541e-07    | 323        | 162        |
| Hager (no hess) | DIXMAANG   | 3000       | 0.029501    | 157        | 1.0000000e+00    | 9.4422354e-07    | 315        | 158        |
| Hager (no hess) | DIXMAANH   | 3000       | 0.031088    | 173        | 1.0000000e+00    | 9.9204220e-07    | 347        | 174        |
| Hager (no hess) | DIXMAANI1  | 3000       | 0.683444    | 3786       | 1.0000001e+00    | 9.3796649e-07    | 3856       | 7504       |
| Hager (no hess) | DIXMAANJ   | 3000       | 0.060481    | 327        | 1.0000002e+00    | 9.8657679e-07    | 655        | 328        |
| Hager (no hess) | DIXMAANK   | 3000       | 0.048856    | 283        | 1.0000002e+00    | 9.4637664e-07    | 567        | 284        |
| Hager (no hess) | DIXMAANL   | 3000       | 0.042892    | 237        | 1.0000002e+00    | 9.6692915e-07    | 475        | 238        |
| Hager (no hess) | DIXMAANM1  | 3000       | 0.775339    | 4332       | 1.0000001e+00    | 9.6975454e-07    | 4387       | 8611       |
| Hager (no hess) | DIXMAANN   | 3000       | 0.107946    | 698        | 1.0000003e+00    | 9.9854503e-07    | 1397       | 699        |
| Hager (no hess) | DIXMAANO   | 3000       | 0.104559    | 629        | 1.0000003e+00    | 9.8429685e-07    | 1262       | 633        |
| Hager (no hess) | DIXMAANP   | 3000       | 0.114111    | 686        | 1.0000003e+00    | 9.9711959e-07    | 1373       | 687        |
| Hager (no hess) | DIXON3DQ   | 10000      | 0.381417    | 5000       | 7.9984003e-04    | 7.9984003e-04    | 0          | 5002       |
| Hager (no hess) | DQDRTIC    | 5000       | 0.002597    | 5          | 4.9737992e-14    | 4.2390980e-11    | 0          | 7          |
| Hager (no hess) | DQRTIC     | 5000       | 0.007105    | 21         | 7.3281603e-08    | 4.9243335e-07    | 51         | 30         |
| Hager (no hess) | EDENSCH    | 2000       | 0.008022    | 28         | 1.2003285e+04    | 9.5279061e-07    | 56         | 40         |
| Hager (no hess) | EIGENALS   | 2550       | 14.853962   | 5000       | 5.6642712e-04    | 1.4609204e-02    | 10006      | 5007       |
| Hager (no hess) | EIGENBLS   | 2550       | 14.847364   | 5000       | 1.5174904e-04    | 4.4765448e-04    | 10001      | 5001       |
| Hager (no hess) | EIGENCLS   | 2652       | 17.198651   | 5000       | 6.1083026e-06    | 3.1377323e-03    | 10001      | 5001       |
| Hager (no hess) | ENGVAL1    | 5000       | 0.014271    | 23         | 5.5486684e+03    | 7.4101799e-07    | 43         | 32         |
| Hager (no hess) | EXTROSNB   | 1000       | 0.163194    | 3202       | 4.3951160e-07    | 9.8168337e-07    | 6561       | 3359       |
| Hager (no hess) | FLETBV3M   | 5000       | 0.028674    | 29         | -2.4858979e+05   | 6.7722941e-07    | 63         | 37         |
| Hager (no hess) | FLETCBV2   | 5000       | 0.002533    | 0          | -5.0026817e-01   | 7.9960014e-08    | 1          | 1          |
