| Algorithm    | prob     | n     | t                     | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | cosmin               | cosmax                 |
|--------------+----------+-------+-----------------------+--------+-------------------------+------------------------+----------+----------+----------+----------------------+------------------------|
| QPS          | GENROSE  | 500   | 0.4363992214202881    | 1248   | 1.0000000028289233      | 0.0007101795452030505  | 4884     | 1250     | 19       | --                   | --                     |
| QPS-roma     | GENROSE  | 500   | 3.1637706756591797    | 5000   | 487.9290177966826       | 4.303500252488268      | 58340    | 5002     | 314      | -1.0                 | 0.9999999760166123     |
| QPS-roma_box | GENROSE  | 500   | 0.23183369636535645   | 1187   | 1.000000002909204       | 0.0008104522214022638  | 4824     | 1254     | 1        | -0.6719647473663046  | 0.46617340016473724    |
| scipy_lbfgs  | GENROSE  | 500   | 0.12619447708129883   | 1076   | 1.000000005339636       | 0.0009051731394819594  | 1312     | 1312     | nan      | nan                  | nan                    |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                   | --                     |
| QPS          | ARWHEAD  | 5000  | 0.017831802368164062  | 7      | 0.00012410005983798378  | 0.0007719135626205187  | 40       | 9        | 2        | --                   | --                     |
| QPS-roma     | ARWHEAD  | 5000  | 0.02172565460205078   | 7      | 0.00012410005983798378  | 0.0007719135626205187  | 61       | 9        | 2        | -0.09680639869621253 | -0.09680639869621253   |
| QPS-roma_box | ARWHEAD  | 5000  | 0.019176483154296875  | 7      | 4.051503577073845e-11   | 2.5833909649315682e-05 | 43       | 13       | 1        | -0.09680639869621253 | 0.0004992791970179173  |
| scipy_lbfgs  | ARWHEAD  | 5000  | 0.022168636322021484  | 12     | 6.459095702737727e-09   | 0.0007540852963143579  | 14       | 14       | nan      | nan                  | nan                    |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                   | --                     |
| QPS          | BROYDN7D | 5000  | 7.638481855392456     | 5000   | 924.5883829776818       | 1.487729703774792      | 18892    | 5002     | 181      | --                   | --                     |
